Subj ID,Session,Run,Target,TR Condition,Word Class,Accuracy,RT,WordFreq,WordFreq,,RT-Rev,Actual response
TPL,1,2,shaving,TR,ACT,1,0.910084,298,23,,0.910084,
TPL,1,2,smoking,TR,ACT,1,0.760333,1334,26,,0.760333,
TPL,1,2,pouring,TR,ACT,1,0.836977,302,48,,0.836977,
TPL,1,2,(pass),(control),(control),NA,0.963961,NA,NA,,0.963961,
TPL,1,2,(pass),(control),(control),NA,0.750356,NA,NA,,0.750356,
TPL,1,2,(pass),(control),(control),NA,1.053395,NA,NA,,1.053395,
TPL,1,2,(pass),(control),(control),NA,1.280968,NA,NA,,1.280968,
TPL,1,2,(pass),(control),(control),NA,1.131218,NA,NA,,1.131218,
TPL,1,2,Alligator,UNTR,OBJ,1,0.793803,178,4,,0.793803,
TPL,1,2,Pumpkin,UNTR,OBJ,1,0.760152,553,2,,0.760152,
TPL,1,2,Spider,UNTR,OBJ,1,0.720696,515,2,,0.720696,
TPL,1,2,Orange,UNTR,OBJ,1,0.814755,1138,23,,0.814755,
TPL,1,2,Raccoon,UNTR,OBJ,1,0.746274,73,1,,0.746274,
TPL,1,2,watering,UNTR,ACT,1,1.645322,109,12,,1.645322,
TPL,1,2,knitting,UNTR,ACT,1,0.938293,115,18,,0.938293,
TPL,1,2,lighting,UNTR,ACT,1,1.490946,323,72,,1.490946,
TPL,1,2,catching,UNTR,ACT,1,1.376025,648,146,,1.376025,
TPL,1,2,shooting,UNTR,ACT,1,0.854755,2871,117,,0.854755,
TPL,1,2,Giraffe,TR,OBJ,1,0.906274,76,0,,0.906274,
TPL,1,2,Pepper,TR,OBJ,1,1.458927,449,13,,1.458927,
TPL,1,2,Beetle,TR,OBJ,0,1.001512,105,0,,NA,roach
TPL,1,2,Lemon,TR,OBJ,1,1.142011,613,18,,1.142011,
TPL,1,2,Skunk,TR,OBJ,1,0.771671,166,0,,0.771671,
WJY,1,1,(pass),(control),(control),NA,1.050742,NA,NA,,1.050742,
WJY,1,1,(pass),(control),(control),NA,0.835242,NA,NA,,0.835242,
WJY,1,1,(pass),(control),(control),NA,1.083826,NA,NA,,1.083826,
WJY,1,1,(pass),(control),(control),NA,0.868326,NA,NA,,0.868326,
WJY,1,1,(pass),(control),(control),NA,0.884869,NA,NA,,0.884869,
WJY,1,1,planting,UNTR,ACT,1,1.51682,108,18,,1.51682,
WJY,1,1,dropping,UNTR,ACT,1,1.672588,826,159,,1.672588,
WJY,1,1,tying,UNTR,ACT,1,0.760963,158,50,,0.760963,
WJY,1,1,peeling,UNTR,ACT,1,1.798489,56,14,,1.798489,
WJY,1,1,touching,UNTR,ACT,1,0.701231,888,91,,0.701231,
WJY,1,1,Eye,CORR,OBJ,1,1.333182,5701,122,,1.333182,
WJY,1,1,Hand,CORR,OBJ,1,0.746416,14262,431,,0.746416,
WJY,1,1,Fork,CORR,OBJ,1,0.855775,450,14,,0.855775,
WJY,1,1,Pen,CORR,OBJ,1,1.104359,1261,18,,1.104359,
WJY,1,1,Book,CORR,OBJ,1,1.028084,9026,193,,1.028084,
WJY,1,1,bouncing,TR,ACT,1,1.335178,217,28,,1.335178,
WJY,1,1,praying,TR,ACT,1,0.934045,520,30,,0.934045,
WJY,1,1,knocking,TR,ACT,1,0.904179,759,47,,0.904179,
WJY,1,1,pushing,TR,ACT,1,1.059946,978,102,,1.059946,
WJY,1,1,stopping,TR,ACT,1,1.122896,1066,240,,1.122896,
WJY,1,1,(pass),(control),(control),NA,1.476398,NA,NA,,1.476398,
WJY,1,1,(pass),(control),(control),NA,0.796815,NA,NA,,0.796815,
WJY,1,1,(pass),(control),(control),NA,0.952582,NA,NA,,0.952582,
WJY,1,1,(pass),(control),(control),NA,0.783491,NA,NA,,0.783491,
WJY,1,1,(pass),(control),(control),NA,0.753625,NA,NA,,0.753625,
WJY,1,1,Barn,TR,OBJ,1,1.060718,693,29,,1.060718,
WJY,1,1,Glasses,TR,OBJ,1,0.705994,1689,29,,0.705994,
WJY,1,1,Pitcher,TR,OBJ,1,0.629719,165,21,,0.629719,
WJY,1,1,Wheel,TR,OBJ,1,0.553445,1380,56,,0.553445,
WJY,1,1,Suitcase,TR,OBJ,1,0.941254,683,20,,0.941254,
